Common,Scientific,Source,Family,Order,Class,Tropical,Climate,Continent,Lit_confirmed,BLAST,Thiaminase,Marine,Habitat,Benthic,Benthopelagic,Pelagic,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3,Habitat2,Benthic,Benthopelagic,Pelagic,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3
Atlantic Herring,Clupea harengus,"BLAST, Greig and Gnaedinger 1971, Hirn and Pekkanen 1975, Nielands 1947, Wistbacka and Bylund 2008",Clupeidae,Clupeiformes,Actinopteri,0,Temperate,Worldwide,1,1,1,1,BP,0,1,0,0,TL,3.4,45,25,1.83,BE,1,0,0,0,TL,4,112,20,0.55
Goldspotted Grenadier Anchovy,Coilia dussumieri,Deolalkar and Sohonie 1954,Engraulidae,Clupeiformes,Actinopteri,1,Tropical,Indo-Pacific,1,NA,1,1,PE,0,0,1,0,TL,3.3,20,NA,0.746,BE,1,0,0,0,TL,4,66,14,NA
Big Head Croaker,Collichthys lucidus,BLAST,Sciaenidae,Eupercaria,Actinopteri,0,Subtropical,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,3.6,19.8,NA,0.413,BE,1,0,0,0,TL,4,470,50,0.321
Cachama,Colossoma macropomum,BLAST,Serrasalmidae,Characiformes,Actinopteri,1,Tropical,South America,0,1,1,0,BP,0,1,0,0,IN,2,108,NA,0.204,BP,0,1,0,0,TL,3.4,45,25,1.83
Whitespotted Conger,Conger myriaster,Fujita 1954,Congridae,Anguilliformes,Actinopteri,0,Temperate,Asia,1,NA,0,1,BE,1,0,0,0,TL,4,100,8,0.523,BE,1,0,0,0,TL,3.5,50,NA,0.679
Redbelly Tilapia,Coptodon zillii,Okonji et al. 2013,Cichlidae,Cichliformes,Actinopteri,1,Tropical,Africa,1,NA,1,0,BP,0,1,0,1,TL,2.5,40,7,0.462,BE,1,0,0,0,TL,3.6,64,14,0.359
Vendace,Coregonus albula,Hirn and Pekkanen 1975,Salmonidae,Salmoniformes,Actinopteri,0,Temperate,Europe,1,NA,0,1,BP,0,1,0,0,TL,3.1,48,10,1.74,BE,1,0,0,0,TL,4.5,53.8,NA,0.17
Cisco,Coregonus artedi,Greig and Gnaedinger 1971,Salmonidae,Salmoniformes,Actinopteri,0,Temperate,North America,1,NA,0,1,PE,0,0,1,0,TL,3.4,57,11,NA,BP,0,1,0,0,TL,3.9,61,13,0.408
Lake Whitefish,Coregonus clupeaformis,"BLAST, Greig and Gnaedinger 1971",Salmonidae,Salmoniformes,Actinopteri,0,Temperate,North America,1,1,0,0,BP,0,1,0,0,TL,3.2,100,50,1.55,PE,0,0,1,0,TL,3.4,64,18,0.397
Bloater,Coregonus hoyi,"Tillitt et al. 2005, Greig and Gnaedinger 1971, Zajicek et al. 2005",Salmonidae,Salmoniformes,Actinopteri,0,Temperate,North America,1,NA,0,0,PE,0,0,1,0,IN,3.3,37,11,NA,PE,0,0,1,0,TL,3.6,60,17,1.34
Roundnose Grenadier,Coryphaenoides rupestris,BLAST,Macrouridae,Gadiformes,Actinopteri,0,Deep-water,Worldwide,0,1,0,1,BP,0,1,0,0,TL,3.7,110,54,0.228,PE,0,0,1,0,TL,3.2,50,NA,1.22
Channel Bull Blenny,Cottoperca gobio,BLAST,Bovichtidae,Perciformes,Actinopteri,0,Subtropical,South America,0,1,0,1,BE,1,0,0,0,TL,4.3,80,NA,0.399,PE,0,0,1,0,TL,2.2,35,NA,0.552
Slimy Sculpin,Cottus cognatus,Honeyfield et al. 2010,Cottidae,Perciformes,Actinopteri,0,Temperate,Worldwide,1,NA,1,0,BE,1,0,0,0,TL,3.4,12.1,7,NA,BE,1,0,0,0,TL,4.1,90,NA,0.25
Lumpfish,Cyclopterus lumpus,"BLAST, Greig and Gnaedinger 1971, Nielands 1947",Cyclopteridae,Perciformes,Actinopteri,0,Polar,Worldwide,1,1,0,1,BP,0,1,0,0,TL,3.9,61,13,0.408,BP,0,1,0,0,TL,2.5,100,16,0.761
