Common,Scientific,Source,Order,Class,Tropical,Trop_Subtrop,Climate,Continent,Lit_confirmed,BLAST,Thiaminase,Confirmed,Thiamine,Thiaminase_activity,Marine,Habitat1,Habitat2,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3
Arkansas Darter,Etheostoma cragini,BLAST,Perciformes,Actinopteri,0,1,Subtropical,North America,0,1,0,0,,,0,NS,BP,0,IN,3.2,6,3,NA
Orangethroat Darter,Etheostoma spectabile,BLAST,Perciformes,Actinopteri,0,0,Temperate,North America,0,1,0,0,,,0,NS,BP,0,IN,3.3,7.2,NA,NA
Blunt-Nosed Clingfish,Gouania willdenowi,BLAST,Gobiesociformes,Actinopteri,0,1,Subtropical,Europe,0,1,0,0,,,1,NS,BE,0,TL,3.1,4.6,NA,NA
Ploughfish,Gymnodraco acuticeps,BLAST,Perciformes,Actinopteri,0,0,Polar,Antarctica,0,1,0,0,,,1,NS,BE,0,TL,4.2,38.5,NA,NA
Tiger Tail Seahorse,Hippocampus comes,BLAST,Syngnathiformes,Actinopteri,1,1,Tropical,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,3.4,18.7,NA,0.13
Pacific Halibut,Hippoglossus stenolepis,BLAST,Pleuronectiformes,Actinopteri,0,0,Temperate,Worldwide,0,1,0,0,,,1,OS,BE,0,TL,4.1,258,55,0.36
NA,Aphyosemion striatum,BLAST,Cyprinodontiformes,Actinopteri,1,1,Tropical,Africa,0,1,0,0,,,0,NS,BP,0,IN,3.2,6,NA,NA
Mangrove Rivulus,Kryptolebias marmoratus,BLAST,Cyprinodontiformes,Actinopteri,1,1,Tropical,Worldwide,0,1,0,0,,,1,NS,BP,0,TL,3.2,4.5,NA,NA
Ballan Wrasse,Labrus bergylta,BLAST,Eupercaria,Actinopteri,0,0,Temperate,Europe,0,1,0,0,,,1,NS,BE,0,TL,3.2,65.9,29,0.295
Large Yellow Croaker,Larimichthys crocea,BLAST,Eupercaria,Actinopteri,0,0,Temperate,Asia,0,1,0,0,,,1,NS,BP,0,TL,3.7,80,NA,0.996
Barramundi,Lates calcarifer,BLAST,Carangaria,Actinopteri,1,1,Tropical,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,3.8,200,NA,0.407
Coelacanth,Latimeria chalumnae,BLAST,Coelacanthiformes,Coelacanthi,0,0,Deep-water,Africa,0,1,0,0,,,1,OS,BE,0,TL,4.4,168,48,NA
Spotted Gar,Lepisosteus oculatus,BLAST,Lepisosteiformes,Actinopteri,0,1,Subtropical,North America,0,1,1,0,,,0,NS,BE,0,TL,4,150,18,0.518
Tanaka's Snailfish,Liparis tanakae,BLAST,Perciformes,Actinopteri,0,0,Temperate,Asia,0,1,0,0,,,1,OS,BE,0,TL,4.3,56.3,NA,0.611
Toothed Cuban Cusk-Eel,Lucifuga dentata,BLAST,Ophidiiformes,Actinopteri,1,1,Tropical,Central America,0,1,0,0,,,1,NS,BE,0,TL,3.3,15.2,NA,NA
Zig-Zag Eel,Mastacembelus armatus,BLAST,Synbranchiformes,Actinopteri,1,1,Tropical,Asia,0,1,0,0,,,0,NS,BE,0,TL,2.8,90,NA,0.314
Zebra Mbuna,Maylandia zebra,BLAST,Cichliformes,Actinopteri,1,1,Tropical,Africa,0,1,0,0,,,0,NS,BE,0,IN,2.3,11.3,NA,NA
Boeseman's Rainbowfish,Melanotaenia boesemani,BLAST,Atheriniformes,Actinopteri,1,1,Tropical,Asia,0,1,0,0,,,0,NS,BP,0,IN,2.9,9,NA,NA
Asian Swamp Eel,Monopterus albus,BLAST,Synbranchiformes,Actinopteri,1,1,Tropical,Asia,0,1,0,0,,,0,NS,BE,0,TL,2.9,100,NA,0.313
Striped Bass,Morone saxatilis,BLAST,Eupercaria,Actinopteri,0,0,Temperate,North America,0,1,0,0,,,1,NS,BE,0,TL,4.7,200,30,1.17
Pinecone Soldierfish,Myripristis murdjan,BLAST,Holocentriformes,Actinopteri,1,1,Tropical,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,3.4,60,NA,0.136
Rio Pearlfish,Nematolebias whitei,BLAST,Cyprinodontiformes,Actinopteri,1,1,Tropical,South America,0,1,0,0,,,0,NS,BP,0,IN,3.3,8,NA,NA
Yellow Drum,Nibea albiflora,BLAST,Eupercaria,Actinopteri,0,0,Temperate,Asia,0,1,0,0,,,1,NS,BP,0,TL,4,43.5,4,0.585
Turquoise Killifish,Nothobranchius furzeri,BLAST,Cyprinodontiformes,Actinopteri,1,1,Tropical,Africa,0,1,0,0,,,0,NS,BP,0,IN,3.2,6.5,NA,0
Chum Salmon,Oncorhynchus keta,BLAST,Salmoniformes,Actinopteri,0,0,Temperate,Worldwide,0,1,0,0,,,1,NS,BP,0,TL,3.7,100,7,2.35
Sockeye Salmon,Oncorhynchus nerka,BLAST,Salmoniformes,Actinopteri,0,0,Temperate,Worldwide,0,1,0,0,,,1,OS,PE,0,TL,3.5,84,8,2.88
Chinook Salmon,Oncorhynchus tshawytscha,BLAST,Salmoniformes,Actinopteri,0,0,Temperate,Worldwide,0,1,0,0,,,1,NS,BP,1,TL,4.4,150,9,1.5
Javenese Ricefish,Oryzias javanicus,BLAST,Beloniformes,Actinopteri,1,1,Tropical,Asia,0,1,0,0,,,0,NS,BP,0,IN,3.4,4.5,NA,NA
Indian Medaka,Oryzias melastigma,BLAST,Beloniformes,Actinopteri,1,1,Tropical,Asia,0,1,0,0,,,0,NS,BP,0,TL,3.3,4,NA,NA
NA,Nothobranchius kadleci,BLAST,Cyprinodontiformes,Actinopteri,1,1,Tropical,Africa,0,1,0,0,,,0,NS,PE,0,IN,3.2,3.9,NA,NA
Korthausae Killifish,Nothobranchius korthausae,BLAST,Cyprinodontiformes,Actinopteri,1,1,Tropical,Africa,0,1,0,0,,,0,NS,BP,0,IN,3.2,5,NA,NA
Spotted Killifish,Nothobranchius kuhntae,BLAST,Cyprinodontiformes,Actinopteri,1,1,Tropical,Africa,0,1,0,0,,,0,NS,BP,0,IN,3.3,10,NA,NA
NA,Nothobranchius pienaari,BLAST,Cyprinodontiformes,Actinopteri,1,1,Tropical,Africa,0,1,0,0,,,0,NS,BP,0,IN,3.2,3.9,NA,NA
Bluefin Notho,Nothobranchius rachovii,BLAST,Cyprinodontiformes,Actinopteri,1,1,Tropical,Africa,0,1,0,0,,,0,NS,BP,0,IN,3.2,6,NA,NA
Spotty,Notolabrus celidotus,BLAST,Eupercaria,Actinopteri,0,0,Temperate,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,3.4,23.9,7,0.714
